block_slot,block_hash,block_timestamp,commission,lamports,post_balance,pubkey,reward_type
292311984,FGUU8zozncaaYtKX7mMxbn4Utmjex4sEXSr9Cy7bA8Nc,2024-09-27 13:26:15.000000 UTC,,58454844,4638355564917,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,Fee
292311988,DKvnEvxEXo2EyWpEv7HozC6x4TBHs5oSJbpsCgX5VoJL,2024-09-27 13:26:17.000000 UTC,,81415771,134259788147,FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,Fee
292311998,3tkhDBKawWmJS5WiWFbBKzUUqvHneinmbSPmoewbUvDZ,2024-09-27 13:26:23.000000 UTC,,18479340,11459979156,A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,Fee
292312003,TLZDUTnJmsk4F5XP6KVePKNkMPDgS73kVDaBVSK7hdY,2024-09-27 13:26:26.000000 UTC,,5341816,5245104187,8Gr59dE1LhRdKeN7EcAFAoKSk9XYVUVPPL7zWc8myrma,Fee
292312009,B364oyvqz6AGgrBoWE5cX4JjJFwnKPzHvYgJU8qFFbVo,2024-09-27 13:26:28.000000 UTC,,15424463,33703221966,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,Fee
292312014,FL54k6psbJrUeb3wWTqztXkGHo1DH31roCizGeZ5QJDU,2024-09-27 13:26:31.000000 UTC,,58968318,66604845545,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312023,5g1qz2kq6Zu8FQHLGWBk34TfSXe2uUctqFpkzhJfsSfU,2024-09-27 13:26:35.000000 UTC,,10807591,313565942859,6JKwz43wDTgk5n8eNCJrtsnNtkDdKd1XUZAvB9WkiEQ4,Fee
292312028,9YBrRS9qd2AK9MQhzBDAgbEGTAVL3waYxYkmVHwJUidm,2024-09-27 13:26:37.000000 UTC,,34000915,66657580960,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312033,F1xJBD4maQ3sdPS4F6cTo5bVSWZMuwxubpvrqFCuk8DQ,2024-09-27 13:26:39.000000 UTC,,13057877,66735101960,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312039,2oYfAp6WaY2szG39osNhNBX6A3QdthWcPcjSDhQcA9dK,2024-09-27 13:26:41.000000 UTC,,14592170,1819150771827,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Fee
